company_name,sub_vertical,hq_city,fit_tier,total_score,lifecycle,opener
Apollo Pipes Ltd,pipes/polymer,Delhi,Tier-1,58,Prospect,
CERA Sanitaryware Ltd,sanitaryware,Kadi,Tier-1,66,"Prospect (score-met, FORCE-gated)","I noticed Q4FY25 call: robust DMS top-50 onboarded -> 150-200 in 6mo for billing transparency (source: https://www.cera-india.com (Q4FY25 concall), 2025-05-01) at CERA Sanitaryware Ltd. It made me wonder whether dealer follow-up + secondary/claim visibility handled in WhatsApp/Excel with manager chasing manually is creating missed secondary or claim delays. We worked on a similar problem (MarsLab: KREPL: 500 reps GPS-verified + reporting 60→10min; fleet: 600-truck live platform). Is this a bottleneck for your team, or am I misreading it?"
Kajaria Ceramics Ltd,tiles/bathware,New Delhi,Tier-2,50,Prospect,
Hindware Home Innovation Ltd,bathware+pipes,Gurgaon,Tier-2,50,Prospect,
Prince Pipes and Fittings Ltd,pipes/bathware,Mumbai,Tier-2,50,Prospect,
Indigo Paints Ltd,decorative,Pune,Tier-2,50,Prospect,
Sirca Paints India Ltd,wood coatings,New Delhi,Tier-2,50,Prospect,
Kamdhenu Colour and Coatings Ltd,decorative,Gurgaon,Tier-2,44,Prospect,
Star Cement Ltd,cement+AAC,Kolkata,Tier-2,50,Prospect,
Somany Ceramics Ltd,tiles/bathware,Noida,Tier-2,52,Prospect,
Greenply Industries Ltd,plywood/MDF,Kolkata,Tier-2,44,Prospect,
Shalimar Paints Ltd,decorative+industrial,Gurgaon,Tier-1,62,Prospect,
Dorset Group,locks/hardware,Gurgaon,Tier-3,44,Prospect,
EBCO Pvt Ltd,furniture fittings,Mumbai,Tier-3,44,Prospect,
Vectus Industries Pvt Ltd,pipes/tanks,Noida,Tier-3,44,Prospect,
